Date,Link
14/12/2000,https://www.ecb.europa.eu/press/pressconf/2000/html/is001214.en.html
02/11/2000,https://www.ecb.europa.eu/press/pressconf/2000/html/is001102.en.html
19/10/2000,https://www.ecb.europa.eu/press/pressconf/2000/html/is001019.en.html
05/10/2000,https://www.ecb.europa.eu/press/pressconf/2000/html/is001005.en.html
14/09/2000,https://www.ecb.europa.eu/press/pressconf/2000/html/is000914.en.html
06/07/2000,https://www.ecb.europa.eu/press/pressconf/2000/html/is000706.en.html
08/06/2000,https://www.ecb.europa.eu/press/pressconf/2000/html/is000608.en.html
11/05/2000,https://www.ecb.europa.eu/press/pressconf/2000/html/is000511.en.html
13/04/2000,https://www.ecb.europa.eu/press/pressconf/2000/html/is000413.en.html
30/03/2000,https://www.ecb.europa.eu/press/pressconf/2000/html/is000330.en.html
02/03/2000,https://www.ecb.europa.eu/press/pressconf/2000/html/is000302.en.html
03/02/2000,https://www.ecb.europa.eu/press/pressconf/2000/html/is000203.en.html
05/01/2000,https://www.ecb.europa.eu/press/pressconf/2000/html/is000105.en.html
