Date,Link
08/12/2011,https://www.ecb.europa.eu/press/pressconf/2011/html/is111208.en.html
03/11/2011,https://www.ecb.europa.eu/press/pressconf/2011/html/is111103.en.html
06/10/2011,https://www.ecb.europa.eu/press/pressconf/2011/html/is111006.en.html
08/09/2011,https://www.ecb.europa.eu/press/pressconf/2011/html/is110908.en.html
04/08/2011,https://www.ecb.europa.eu/press/pressconf/2011/html/is110804.en.html
07/07/2011,https://www.ecb.europa.eu/press/pressconf/2011/html/is110707.en.html
09/06/2011,https://www.ecb.europa.eu/press/pressconf/2011/html/is110609.en.html
05/05/2011,https://www.ecb.europa.eu/press/pressconf/2011/html/is110505.en.html
07/04/2011,https://www.ecb.europa.eu/press/pressconf/2011/html/is110407.en.html
03/03/2011,https://www.ecb.europa.eu/press/pressconf/2011/html/is110303.en.html
03/02/2011,https://www.ecb.europa.eu/press/pressconf/2011/html/is110203.en.html
13/01/2011,https://www.ecb.europa.eu/press/pressconf/2011/html/is110113.en.html
