Date,Link
07/12/2006,https://www.ecb.europa.eu/press/pressconf/2006/html/is061207.en.html
02/11/2006,https://www.ecb.europa.eu/press/pressconf/2006/html/is061102.en.html
05/10/2006,https://www.ecb.europa.eu/press/pressconf/2006/html/is061005.en.html
31/08/2006,https://www.ecb.europa.eu/press/pressconf/2006/html/is060831.en.html
03/08/2006,https://www.ecb.europa.eu/press/pressconf/2006/html/is060803.en.html
06/07/2006,https://www.ecb.europa.eu/press/pressconf/2006/html/is060706.en.html
08/06/2006,https://www.ecb.europa.eu/press/pressconf/2006/html/is060608.en.html
04/05/2006,https://www.ecb.europa.eu/press/pressconf/2006/html/is060504.en.html
06/04/2006,https://www.ecb.europa.eu/press/pressconf/2006/html/is060406.en.html
02/03/2006,https://www.ecb.europa.eu/press/pressconf/2006/html/is060302.en.html
02/02/2006,https://www.ecb.europa.eu/press/pressconf/2006/html/is060202.en.html
12/01/2006,https://www.ecb.europa.eu/press/pressconf/2006/html/is060112.en.html
